Code,Name,Market
VIC,Vingroup JSC,HOSE
VHM,Vinhomes JSC,HOSE
VCB,JSC Bank for Foreign Trade of Viet Nam,HOSE
BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,HOSE
CTG,Vietnam Joint Stock Commercial Bank for Industry and Trade,HOSE
TCB,Vietnam Technological And Commercial Joint Stock Bank,HOSE
VPB,Vietnam Prosperity Joint Stock Commercial Bank,HOSE
HPG,Hoa Phat Group JSC,HOSE
MBB,Military Commercial Joint Stock Bank,HOSE
MCH,Masan Consumer Corp,HOSE
GAS,Petrovietnam Gas Joint Stock Corp,HOSE
LPB,Fortune Vietnam Joint Stock Commercial Bank,HOSE
VPL,Vinpearl JSC,HOSE
STB,Saigon Treasure Commercial Joint Stock Bank,HOSE
ACB,Asia Commercial Joint Stock Bank,HOSE
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,HOSE
BSR,Petrovietnam Refining and Petrochemical Corp,HOSE
VNM,Vietnam Dairy Products JSC,HOSE
FPT,FPT Corp,HOSE
TCX,Techcom Securities JSC,HOSE
GVR,Viet Nam Rubber Group JSC,HOSE
MWG,Mobile World Investment Corp,HOSE
MSN,Masan Group Corp,HOSE
VJC,Vietjet Aviation JSC,HOSE
VCK,VPS Securities JSC,HOSE
HVN,Vietnam Airlines JSC,HOSE
SHB,Sai Gon Ha Noi Commercial Joint Stock Bank,HOSE
SSI,SSI Securities Corp,HOSE
VRE,Vincom Retail JSC,HOSE
SAB,Saigon Beer Alcohol Beverage Corp,HOSE
SSB,Southeast Asia Commercial Joint Stock Bank,HOSE
MSB,Vietnam Maritime Commercial Joint Stock Bank,HOSE
VIB,Viet Nam International Commercial Joint Stock Bank,HOSE
VPX,VPBank Securities JSC,HOSE
BVH,BaoViet Holdings,HOSE
GEE,Gelex Electricity JSC,HOSE
PLX,Vietnam National Petroleum Group,HOSE
POW,Petrovietnam Power Corp,HOSE
TPB,Tien Phong Commercial Joint Stock Bank,HOSE
BCM,Becamex Investment and Industrial Development Group,HOSE
HCM,Ho Chi Minh City Securities Corp,HOSE
EIB,Vietnam Export Import Commercial Joint Stock Bank,HOSE
VIX,VIX Securities JSC,HOSE
GMD,Gemadept Group Corp,HOSE
OCB,Orient Commercial Joint Stock Bank,HOSE
NVL,No Va Land Investment Group Corp,HOSE
GEX,Gelex Group JSC,HOSE
REE,Refrigeration Electrical Engineering Corp,HOSE
